wavelength,global_irradiance,direct_irradiance
652.0,1.3871000000000000000000000,1.2558000000000000000000000
653.0,1.4311000000000000000000000,1.2950000000000000000000000
654.0,1.4153000000000000000000000,1.2807000000000000000000000
655.0,1.3499000000000000000000000,1.2220000000000000000000000
656.0,1.1851000000000000000000000,1.0727000000000000000000000
657.0,1.2393000000000000000000000,1.1218000000000000000000000
658.0,1.3855000000000000000000000,1.2540000000000000000000000
659.0,1.3905000000000000000000000,1.2586000000000000000000000
660.0,1.3992000000000000000000000,1.2668000000000000000000000
661.0,1.3933000000000000000000000,1.2618000000000000000000000
662.0,1.3819000000000000000000000,1.2518000000000000000000000
663.0,1.3844000000000000000000000,1.2539000000000000000000000
664.0,1.3967000000000000000000000,1.2647000000000000000000000
665.0,1.4214000000000000000000000,1.2871000000000000000000000
666.0,1.4203000000000000000000000,1.2860000000000000000000000
667.0,1.4102000000000000000000000,1.2767000000000000000000000
668.0,1.4150000000000000000000000,1.2810000000000000000000000
669.0,1.4394000000000000000000000,1.3032000000000000000000000
670.0,1.4196000000000000000000000,1.2853000000000000000000000
671.0,1.4169000000000000000000000,1.2829000000000000000000000
672.0,1.3972000000000000000000000,1.2651000000000000000000000
673.0,1.4094000000000000000000000,1.2760000000000000000000000
674.0,1.4074000000000000000000000,1.2742000000000000000000000
675.0,1.3958000000000000000000000,1.2639000000000000000000000
676.0,1.4120000000000000000000000,1.2786000000000000000000000
677.0,1.3991000000000000000000000,1.2669000000000000000000000
678.0,1.4066000000000000000000000,1.2737000000000000000000000
679.0,1.3947000000000000000000000,1.2629000000000000000000000
680.0,1.3969000000000000000000000,1.2650000000000000000000000
681.0,1.3915000000000000000000000,1.2601000000000000000000000
682.0,1.3981000000000000000000000,1.2662000000000000000000000
683.0,1.3830000000000000000000000,1.2526000000000000000000000
684.0,1.3739000000000000000000000,1.2445000000000000000000000
685.0,1.3748000000000000000000000,1.2454000000000000000000000
686.0,1.3438000000000000000000000,1.2174000000000000000000000
687.0,0.9682400000000000000000000,0.8828500000000000000000000
688.0,1.1206000000000000000000000,1.0195000000000000000000000
689.0,1.1278000000000000000000000,1.0260000000000000000000000
690.0,1.1821000000000000000000000,1.0746000000000000000000000
691.0,1.2333000000000000000000000,1.1201000000000000000000000
692.0,1.2689000000000000000000000,1.1516000000000000000000000
693.0,1.2609000000000000000000000,1.1446000000000000000000000
694.0,1.2464000000000000000000000,1.1318000000000000000000000
695.0,1.2714000000000000000000000,1.1538000000000000000000000
696.0,1.2684000000000000000000000,1.1513000000000000000000000
697.0,1.3403000000000000000000000,1.2151000000000000000000000
698.0,1.3192000000000000000000000,1.1961000000000000000000000
699.0,1.2918000000000000000000000,1.1721000000000000000000000
700.0,1.2823000000000000000000000,1.1636000000000000000000000
701.0,1.2659000000000000000000000,1.1489000000000000000000000
702.0,1.2674000000000000000000000,1.1500000000000000000000000
703.0,1.2747000000000000000000000,1.1567000000000000000000000
704.0,1.3078000000000000000000000,1.1864000000000000000000000
705.0,1.3214000000000000000000000,1.1989000000000000000000000
706.0,1.3144000000000000000000000,1.1925000000000000000000000
707.0,1.3090000000000000000000000,1.1875000000000000000000000
708.0,1.3048000000000000000000000,1.1839000000000000000000000
709.0,1.3095000000000000000000000,1.1880000000000000000000000
710.0,1.3175000000000000000000000,1.1954000000000000000000000
711.0,1.3155000000000000000000000,1.1934000000000000000000000
712.0,1.3071000000000000000000000,1.1856000000000000000000000
713.0,1.2918000000000000000000000,1.1719000000000000000000000
714.0,1.3029000000000000000000000,1.1823000000000000000000000
715.0,1.2587000000000000000000000,1.1428000000000000000000000
716.0,1.2716000000000000000000000,1.1548000000000000000000000
717.0,1.1071000000000000000000000,1.0081000000000000000000000
718.0,1.0296000000000000000000000,0.9387300000000000000000000
719.0,0.9231800000000000000000000,0.8427400000000000000000000
720.0,0.9855000000000000000000000,0.8994000000000000000000000
721.0,1.0861000000000000000000000,0.9896700000000000000000000
722.0,1.2407000000000000000000000,1.1281000000000000000000000
723.0,1.1444000000000000000000000,1.0423000000000000000000000
724.0,1.0555000000000000000000000,0.9630500000000000000000000
725.0,1.0380000000000000000000000,0.9474100000000000000000000
726.0,1.0813000000000000000000000,0.9863800000000000000000000
727.0,1.0850000000000000000000000,0.9898800000000000000000000
728.0,1.0400000000000000000000000,0.9496800000000000000000000
729.0,1.0466000000000000000000000,0.9550300000000000000000000
730.0,1.1285000000000000000000000,1.0294000000000000000000000
731.0,1.0703000000000000000000000,0.9770200000000000000000000
732.0,1.1534000000000000000000000,1.0520000000000000000000000
733.0,1.1962000000000000000000000,1.0901000000000000000000000
734.0,1.2357000000000000000000000,1.1261000000000000000000000
735.0,1.2178000000000000000000000,1.1101000000000000000000000
736.0,1.2059000000000000000000000,1.0994000000000000000000000
737.0,1.2039000000000000000000000,1.0978000000000000000000000
738.0,1.2269000000000000000000000,1.1184000000000000000000000
739.0,1.1905000000000000000000000,1.0855000000000000000000000
740.0,1.2195000000000000000000000,1.1119000000000000000000000
741.0,1.2148000000000000000000000,1.1078000000000000000000000
742.0,1.2153000000000000000000000,1.1084000000000000000000000
743.0,1.2405000000000000000000000,1.1316000000000000000000000
744.0,1.2503000000000000000000000,1.1408000000000000000000000
745.0,1.2497000000000000000000000,1.1404000000000000000000000
746.0,1.2470000000000000000000000,1.1381000000000000000000000
747.0,1.2477000000000000000000000,1.1389000000000000000000000
748.0,1.2401000000000000000000000,1.1323000000000000000000000
749.0,1.2357000000000000000000000,1.1286000000000000000000000
750.0,1.2341000000000000000000000,1.1273000000000000000000000
751.0,1.2286000000000000000000000,1.1224000000000000000000000
752.0,1.2330000000000000000000000,1.1265000000000000000000000
753.0,1.2266000000000000000000000,1.1210000000000000000000000
754.0,1.2420000000000000000000000,1.1353000000000000000000000
755.0,1.2383000000000000000000000,1.1321000000000000000000000
756.0,1.2232000000000000000000000,1.1185000000000000000000000
757.0,1.2221000000000000000000000,1.1176000000000000000000000
758.0,1.2295000000000000000000000,1.1246000000000000000000000
759.0,1.1945000000000000000000000,1.0932000000000000000000000
760.0,0.2660400000000000000000000,0.2471600000000000000000000
761.0,0.1539600000000000000000000,0.1432800000000000000000000
762.0,0.6876600000000000000000000,0.6349100000000000000000000
763.0,0.3795200000000000000000000,0.3521700000000000000000000
764.0,0.5387800000000000000000000,0.4988500000000000000000000
765.0,0.6860100000000000000000000,0.6337700000000000000000000
766.0,0.8146100000000000000000000,0.7508000000000000000000000
767.0,0.9741700000000000000000000,0.8957400000000000000000000
768.0,1.1138000000000000000000000,1.0222000000000000000000000
769.0,1.1278000000000000000000000,1.0347000000000000000000000
770.0,1.1608000000000000000000000,1.0646000000000000000000000
771.0,1.1686000000000000000000000,1.0716000000000000000000000
772.0,1.1778000000000000000000000,1.0802000000000000000000000
773.0,1.1771000000000000000000000,1.0797000000000000000000000
774.0,1.1771000000000000000000000,1.0800000000000000000000000
775.0,1.1771000000000000000000000,1.0801000000000000000000000
776.0,1.1798000000000000000000000,1.0827000000000000000000000
777.0,1.1727000000000000000000000,1.0764000000000000000000000
778.0,1.1713000000000000000000000,1.0754000000000000000000000
779.0,1.1765000000000000000000000,1.0803000000000000000000000
780.0,1.1636000000000000000000000,1.0687000000000000000000000
781.0,1.1607000000000000000000000,1.0662000000000000000000000
782.0,1.1662000000000000000000000,1.0714000000000000000000000
783.0,1.1614000000000000000000000,1.0672000000000000000000000
784.0,1.1536000000000000000000000,1.0602000000000000000000000
785.0,1.1586000000000000000000000,1.0649000000000000000000000
786.0,1.1592000000000000000000000,1.0656000000000000000000000
787.0,1.1450000000000000000000000,1.0530000000000000000000000
788.0,1.1305000000000000000000000,1.0399000000000000000000000
789.0,1.1257000000000000000000000,1.0359000000000000000000000
790.0,1.0910000000000000000000000,1.0045000000000000000000000
791.0,1.1058000000000000000000000,1.0179000000000000000000000
792.0,1.0953000000000000000000000,1.0084000000000000000000000
793.0,1.0875000000000000000000000,1.0015000000000000000000000
794.0,1.0972000000000000000000000,1.0101000000000000000000000
795.0,1.0932000000000000000000000,1.0066000000000000000000000
796.0,1.0742000000000000000000000,0.9898500000000000000000000
797.0,1.0913000000000000000000000,1.0057000000000000000000000
